date,product,category,quantity,unit_price,total_sales
2023-01-01,Laptop,Electronics,7,899.99,6299.93
2023-01-02,Coffee Maker,Appliances,12,59.99,719.88
2023-01-03,Running Shoes,Clothing,15,89.99,1349.85
2023-01-04,Smartphone,Electronics,9,699.99,6299.91
2023-01-05,Blender,Appliances,8,49.99,399.92
2023-01-06,T-Shirt,Clothing,30,19.99,599.70
2023-01-07,Tablet,Electronics,5,349.99,1749.95
2023-01-08,Toaster,Appliances,20,29.99,599.80
2023-01-09,Jeans,Clothing,18,59.99,1079.82
2023-01-10,Smart Watch,Electronics,11,199.99,2199.89
2023-01-11,Microwave,Appliances,6,129.99,779.94
2023-01-12,Sweater,Clothing,22,39.99,879.78
2023-01-13,Headphones,Electronics,25,79.99,1999.75
2023-01-14,Air Fryer,Appliances,14,89.99,1259.86
2023-01-15,Dress,Clothing,10,69.99,699.90
2023-01-16,Laptop,Electronics,8,899.99,7199.92
2023-01-17,Coffee Maker,Appliances,5,59.99,299.95
2023-01-18,Running Shoes,Clothing,12,89.99,1079.88
2023-01-19,Smartphone,Electronics,6,699.99,4199.94
2023-01-20,Blender,Appliances,9,49.99,449.91
2023-01-21,T-Shirt,Clothing,45,19.99,899.55
2023-01-22,Tablet,Electronics,7,349.99,2449.93
2023-01-23,Toaster,Appliances,15,29.99,449.85
2023-01-24,Jeans,Clothing,20,59.99,1199.80
2023-01-25,Smart Watch,Electronics,13,199.99,2599.87
2023-01-26,Microwave,Appliances,4,129.99,519.96
2023-01-27,Sweater,Clothing,18,39.99,719.82
2023-01-28,Headphones,Electronics,22,79.99,1759.78
2023-01-29,Air Fryer,Appliances,11,89.99,989.89
2023-01-30,Dress,Clothing,9,69.99,629.91
2023-01-31,Laptop,Electronics,10,899.99,8999.90
